Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S281769575,Lesser Rhea,Rhea pennata,38,5,CL-AI,Coyhaique,L13018785,Intersección Ruta X-439 y Ruta X-439,-45.2331908,-71.3915119,2025-10-23,03:58 PM,eBird - Traveling Count,45,1,24.14,,2
S279853987,Puna Tinamou,Tinamotis pentlandii,44,3,BO-P,,L2763701,Laguna Colorada,-22.1963885,-67.7774123,2025-10-04,02:01 PM,eBird - Stationary Count,45,1,,,2
S271741426,Ornate Tinamou,Nothoprocta ornata,106,X,PE-ANC,,L34587303,Laguna Jahuacocha,-10.2367433,-76.9576636,2025-08-29,08:00 AM,eBird - Traveling Count,600,1,12.87,,2
S276086413,Great Tinamou,Tinamus major,126,1,BO-L,,L10094773,Madidi Jungle Ecolodge,-14.553154,-67.696909,2025-09-23,04:05 PM,eBird - Traveling Count,168,1,.97,,3
S272835404,Gray Tinamou,Tinamus tao,140,2,PE-CUS,,L11113747,Jardín de Colibries y Mirador Pico de Hoz,-12.8988068,-71.396582,2025-09-11,02:26 PM,eBird - Traveling Count,140,1,.8,,3
S276086413,Undulated Tinamou,Crypturellus undulatus,189,3,BO-L,,L10094773,Madidi Jungle Ecolodge,-14.553154,-67.696909,2025-09-23,04:05 PM,eBird - Traveling Count,168,1,.97,,3
S204798919,Lesser Whistling-Duck,Dendrocygna javanica,258,25,KH-17,,L2129865,Banteay Srei,13.6014428,103.965168,2024-12-08,01:00 PM,eBird - Casual Observation,,0,,,1
S204584698,Lesser Whistling-Duck,Dendrocygna javanica,258,12,KH-13,,L3348859,Koh Ker--Pram Temple,13.7500151,104.5467138,2024-12-06,09:05 AM,eBird - Traveling Count,70,1,1.609,,3,,,Prasat Pram
S155071901,Snow Goose,Anser caerulescens,267,400,US-CA,Glenn,L837268,Sacramento NWR--Auto Route & Visitor Center,39.4284385,-122.1564999,2023-11-23,10:44 AM,eBird - Traveling Count,83,1,7.91,,2
S157663568,Snow Goose,Anser caerulescens,267,60,US-CA,San Joaquin,L468580,Staten Island,38.2020281,-121.5043546,2023-12-31,11:33 AM,eBird - Traveling Count,95,1,14.001,,2
S155071901,Ross's Goose,Anser rossii,272,10,US-CA,Glenn,L837268,Sacramento NWR--Auto Route & Visitor Center,39.4284385,-122.1564999,2023-11-23,10:44 AM,eBird - Traveling Count,83,1,7.91,,2
S155071901,Snow/Ross's Goose,Anser caerulescens/rossii,274,2000,US-CA,Glenn,L837268,Sacramento NWR--Auto Route & Visitor Center,39.4284385,-122.1564999,2023-11-23,10:44 AM,eBird - Traveling Count,83,1,7.91,,2
S155140661,Snow/Ross's Goose,Anser caerulescens/rossii,274,1000,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-24,04:50 PM,eBird - Traveling Count,30,1,1.609,,2
S155219632,Snow/Ross's Goose,Anser caerulescens/rossii,274,1000,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-25,11:41 AM,eBird - Traveling Count,59,1,7.033,,2,,,Heard multiple sandhill cranes but unable to locate
S157663568,Snow/Ross's Goose,Anser caerulescens/rossii,274,2,US-CA,San Joaquin,L468580,Staten Island,38.2020281,-121.5043546,2023-12-31,11:33 AM,eBird - Traveling Count,95,1,14.001,,2
S155071901,Greater White-fronted Goose,Anser albifrons,287,500,US-CA,Glenn,L837268,Sacramento NWR--Auto Route & Visitor Center,39.4284385,-122.1564999,2023-11-23,10:44 AM,eBird - Traveling Count,83,1,7.91,,2
S155219632,Greater White-fronted Goose,Anser albifrons,287,20,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-25,11:41 AM,eBird - Traveling Count,59,1,7.033,,2,,,Heard multiple sandhill cranes but unable to locate
S157663568,Greater White-fronted Goose,Anser albifrons,287,40,US-CA,San Joaquin,L468580,Staten Island,38.2020281,-121.5043546,2023-12-31,11:33 AM,eBird - Traveling Count,95,1,14.001,,2
S155294788,Cackling Goose,Branta hutchinsii,331,X,US-CA,Colusa,L28099781,Colusa NWR,39.1882327,-122.0481729,2023-11-26,,eBird - Casual Observation,,0,,,1
S291468228,Cackling Goose,Branta hutchinsii,331,220,CA-BC,Metro Vancouver,L285192,Deer Lake Park,49.2376833,-122.9678577,2025-12-31,12:33 PM,eBird - Traveling Count,70,1,4.18,,2
S157663568,Cackling Goose,Branta hutchinsii,331,500,US-CA,San Joaquin,L468580,Staten Island,38.2020281,-121.5043546,2023-12-31,11:33 AM,eBird - Traveling Count,95,1,14.001,,2
S263713368,Canada Goose,Branta canadensis,342,40,CA-BC,Columbia-Shuswap,L3337724,Salmon Arm--Nature Bay Trail (To Christmas Island),50.7093682,-119.271183,2025-07-26,01:00 PM,eBird - Traveling Count,70,1,2.09,,2
S168673041,Canada Goose,Branta canadensis,342,1,US-CA,Contra Costa,L1798091,Los Vaqueros Reservoir--Walnut Trail and Staging Area,37.8647934,-121.699764,2024-04-14,11:43 AM,eBird - Traveling Count,54,1,.623,,2
S180506950,Canada Goose,Branta canadensis,342,1,US-NY,Dutchess,L1171361,Madam Brett Park,41.4886892,-73.9742571,2024-06-09,01:15 PM,eBird - Traveling Count,30,1,1.609,,3
S192216559,Canada Goose,Branta canadensis,342,3,US-CO,Larimer,L212245,Dixon Reservoir,40.5543129,-105.1434097,2024-08-16,03:09 PM,eBird - Traveling Count,43,1,2.602,,2
S291976245,Canada Goose,Branta canadensis,342,12,CA-BC,Metro Vancouver,L28950917,Vancouver--Sunset Beach Park,49.2794246,-123.1380916,2026-01-02,01:37 PM,eBird - Traveling Count,60,1,2.25,,2
S294413511,Canada Goose,Branta canadensis,342,X,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-01-15,04:08 PM,eBird - Traveling Count,30,1,.8,,2
S155219632,Canada Goose,Branta canadensis,342,200,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-25,11:41 AM,eBird - Traveling Count,59,1,7.033,,2,,,Heard multiple sandhill cranes but unable to locate
S136335900,Canada Goose,Branta canadensis,342,X,US-CA,Napa,L24075223,Lake Berryessa,38.651989,-122.2791138,2023-04-09,,eBird - Casual Observation,,0,,,1
S153282862,Canada Goose,Branta canadensis,342,8,US-CA,Napa,L9218882,Lake Berryessa--Putah Canyon CG,38.6288732,-122.2895713,2023-10-28,10:44 AM,eBird - Traveling Count,141,1,2.667,,1
S159510808,Canada Goose,Branta canadensis,342,4,US-CA,San Francisco,L1085740,Golden Gate Park--Arboretum (San Francisco Botanical Garden),37.7675937,-122.4688053,2024-01-21,11:21 AM,eBird - Traveling Count,95,1,2.462,,2
S172063951,Canada Goose,Branta canadensis,342,2,US-CA,San Mateo,L24921898,San Mateo,37.5772972,-122.3098907,2024-05-04,06:25 PM,eBird - Traveling Count,50,1,3.106,,1
S177724057,Canada Goose,Branta canadensis,342,15,US-CA,Santa Clara,L2698912,Ed Levin CP--Sandy Wool-Elm areas,37.4559362,-121.8632054,2024-05-27,01:30 AM,eBird - Traveling Count,30,1,1.609,,2
S164257747,Canada Goose,Branta canadensis,342,20,US-CA,Sonoma,L233698,Spring Lake Regional Park,38.4541936,-122.6508522,2024-03-09,01:28 PM,eBird - Traveling Count,108,1,2.317,,2
S172336031,Canada Goose,Branta canadensis,342,26,US-CA,Yolo,L448084,Woodland WTP,38.6624345,-121.7173585,2024-05-05,04:10 PM,eBird - Traveling Count,104,1,1.837,,1,,Including right goslings
S155140661,Cackling/Canada Goose,Branta hutchinsii/canadensis,363,100,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-24,04:50 PM,eBird - Traveling Count,30,1,1.609,,2
S253314602,Mute Swan,Cygnus olor,377,1,JP-20,Matsumoto,L5397201,松本市--松本城 (Matsumoto--Matsumoto Castle),36.2386659,137.9690176,2025-05-26,10:50 AM,eBird - Traveling Count,130,1,3.7,,2
S278079391,Black-necked Swan,Cygnus melancoryphus,381,1,CL-CO,La Serena,L3122565,Parque Jardín del Corazón (Kokoro No Niwa),-29.9037627,-71.2556934,2025-10-08,04:43 PM,eBird - Stationary Count,40,1,,,2
S281769123,Black-necked Swan,Cygnus melancoryphus,381,8,CL-LL,Quellón,L11075915,Candelaria,-43.0682351,-73.5499843,2025-10-20,03:56 PM,eBird - Traveling Count,20,1,1.61,,2
