taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2925531	Verbena stricta Vent.	2925531	Verbena stricta Vent.	9275	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Verbenaceae	6689	Verbena	2925470	Verbena stricta	2925531	
8956987	Alnus alnobetula (Ehrh.) K.Koch	8956987	Alnus alnobetula (Ehrh.) K.Koch	5695	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Betulaceae	4688	Alnus	2876099	Alnus alnobetula	8956987	LC
5816059	Hemidactylus platyurus (Schneider, 1797)	5816059	Hemidactylus platyurus (Schneider, 1797)	8421	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Gekkonidae	5666	Hemidactylus	5221394	Hemidactylus platyurus	5816059	LC
6175158	Agelaius phoeniceus californicus Nelson, 1897	6175158	Agelaius phoeniceus californicus Nelson, 1897	49	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Agelaius	2484444	Agelaius phoeniceus	9409198	
1064867	Lepidiota stigma (Fabricius, 1801)	1064867	Lepidiota stigma (Fabricius, 1801)	107	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Lepidiota	1064804	Lepidiota stigma	1064867	
5281209	Hypopterygium wolffhuegelii Herzog	7375712	Arbusculohypopterygium arbuscula (Brid.) M.Stech, T.Pfeiff. & W.Frey	125	SPECIES	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Hypopterygiales	12209536	Hypopterygiaceae	3229944	Arbusculohypopterygium	4891482	Arbusculohypopterygium arbuscula	7375712	
2467558	Anolis fuscoauratus D'Orbigny, 1837	2467558	Anolis fuscoauratus D'Orbigny, 1837	1639	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Dactyloidae	8345926	Anolis	8782549	Anolis fuscoauratus	2467558	DD
2892467	Mussaenda philippica var. aurorae Sulit	2892467	Mussaenda philippica var. aurorae Sulit	6	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Mussaenda	2892394	Mussaenda philippica	2892466	
8718922	Bombus terrestris terrestris (Linnaeus, 1758)	8718922	Bombus terrestris terrestris (Linnaeus, 1758)	232	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus terrestris	1340503	
6225344	Morpho achilles vitrea Butler, 1866	6225344	Morpho achilles vitrea Butler, 1866	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Morpho	1909888	Morpho achilles	5133255	
5171075	Eriophora fuliginea (C.L.Koch, 1838)	5171075	Eriophora fuliginea (C.L.Koch, 1838)	1475	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Eriophora	2158754	Eriophora fuliginea	5171075	
7223369	Cichorium intybus subsp. intybus	7223369	Cichorium intybus subsp. intybus	144	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Cichorium	3106707	Cichorium intybus	5392252	
2431491	Plethodon cinereus (Green, 1818)	2431491	Plethodon cinereus (Green, 1818)	61983	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Plethodon	2431477	Plethodon cinereus	2431491	LC
6228645	Chersonesia risa cyanee (de Nicéville, 1893)	6228645	Chersonesia risa cyanee (de Nicéville, 1893)	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Chersonesia	1897807	Chersonesia risa	1897817	
9166501	Callospermophilus lateralis lateralis (Say, 1823)	9166501	Callospermophilus lateralis lateralis (Say, 1823)	118	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Callospermophilus	4827935	Callospermophilus lateralis	7593288	
2434328	Lycalopex griseus (Gray, 1837)	2434333	Lycalopex gymnocercus (G.Fischer, 1814)	1697	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Lycalopex	2434325	Lycalopex gymnocercus	2434333	
7346367	Papilio protenor protenor	7346367	Papilio protenor protenor	83	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Papilionidae	9417	Papilio	10175914	Papilio protenor	1938052	
1904948	Cyrestis thyodamas Boisduval, 1836	1904948	Cyrestis thyodamas Boisduval, 1836	3856	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Cyrestis	1904851	Cyrestis thyodamas	1904948	
5882719	Pieris rapae crucivora Boisduval, 1836	5882719	Pieris rapae crucivora Boisduval, 1836	792	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pieridae	5481	Pieris	1920481	Pieris rapae	1920496	
3702049	Nepenthes gracilis Korth.	3702049	Nepenthes gracilis Korth.	984	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Nepenthaceae	6682	Nepenthes	3190711	Nepenthes gracilis	3702049	LC
6126475	Gyrineum natator (Röding, 1798)	6126475	Gyrineum natator (Röding, 1798)	206	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Cymatiidae	3244460	Gyrineum	4360600	Gyrineum natator	6126475	
2463327	Emoia atrocostata (Lesson, 1830)	2463327	Emoia atrocostata (Lesson, 1830)	463	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Scincidae	9115	Emoia	2463307	Emoia atrocostata	2463327	LC
6441194	Sedum lanceolatum subsp. nesioticum (G.N.Jones) R.T.Clausen	6441194	Sedum lanceolatum subsp. nesioticum (G.N.Jones) R.T.Clausen	96	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Crassulaceae	2406	Sedum	5361975	Sedum lanceolatum	5362021	
11517976	Dione vanillae incarnata Riley, 1926	11517976	Dione vanillae incarnata Riley, 1926	2941	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Dione	1897643	Dione vanillae	11701883	
6427737	Oenothera cespitosa subsp. macroglottis (Rydb.) W.L.Wagner, Stockh. & W.M.Klein	6427737	Oenothera cespitosa subsp. macroglottis (Rydb.) W.L.Wagner, Stockh. & W.M.Klein	17	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Onagraceae	2430	Oenothera	3188799	Oenothera cespitosa	3188809	
6175150	Agelaius phoeniceus fortis Ridgway, 1901	6175150	Agelaius phoeniceus fortis Ridgway, 1901	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Agelaius	2484444	Agelaius phoeniceus	9409198	
9478515	Mareca strepera strepera (Linnaeus, 1758)	9478515	Mareca strepera strepera (Linnaeus, 1758)	1237	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Mareca	2498314	Mareca strepera	9362027	
1683835	Sympaestria acutelobata Brunner von Wattenwyl, 1878	1683835	Sympaestria acutelobata Brunner von Wattenwyl, 1878	33	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Orthoptera	1458	Tettigoniidae	3991	Sympaestria	1683834	Sympaestria acutelobata	1683835	
6223033	Danaus affinis albistriga Talbot, 1943	6223033	Danaus affinis albistriga Talbot, 1943	3	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Danaus	5133087	Danaus affinis	6100725	
1340388	Bombus dahlbomii Guérin-Méneville, 1835	1340388	Bombus dahlbomii Guérin-Méneville, 1835	1008	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus dahlbomii	1340388	EN
2433573	Potos flavus (Schreber, 1774)	2433573	Potos flavus (Schreber, 1774)	1037	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Potos	2433572	Potos flavus	2433573	LC
6178041	Buteo lineatus extimus Bangs, 1920	6178041	Buteo lineatus extimus Bangs, 1920	376	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo lineatus	2480529	
7300375	Berberis microphylla G.Forst.	7300375	Berberis microphylla G.Forst.	1877	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Berberidaceae	6673	Berberis	3033893	Berberis microphylla	7300375	
7866160	Palicourea tomentosa (Aubl.) Borhidi	7866160	Palicourea tomentosa (Aubl.) Borhidi	3175	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Palicourea	2898662	Palicourea tomentosa	7866160	
2422538	Duttaphrynus melanostictus (Schneider, 1799)	2422538	Duttaphrynus melanostictus (Schneider, 1799)	20610	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Duttaphrynus	2422528	Duttaphrynus melanostictus	2422538	LC
5716745	Coenobita violascens Heller, 1862	5716745	Coenobita violascens Heller, 1862	905	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Coenobitidae	8033	Coenobita	7717617	Coenobita violascens	5716745	
3118283	Tanacetum siculum (Guss.) Strobl	6445581	Tanacetum vulgare subsp. siculum (Guss.) Raimondo & Spadaro	62	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Tanacetum	3118160	Tanacetum vulgare	3118274	
1938052	Papilio protenor Cramer, 1775	1938052	Papilio protenor Cramer, 1775	2718	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Papilionidae	9417	Papilio	10175914	Papilio protenor	1938052	
7400180	Pedicularis racemosa Douglas ex Hook.	7400180	Pedicularis racemosa Douglas ex Hook.	4668	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Orobanchaceae	6651	Pedicularis	3171670	Pedicularis racemosa	7400180	
11742588	Asota heliconia philippina	11742588	Asota heliconia philippina	31	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Asota	8970409	Asota heliconia	1774598	
5220210	Caiman yacare (Daudin, 1801)	5220210	Caiman yacare (Daudin, 1801)	3145	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Crocodylia	11493978			Alligatoridae	3238603	Caiman	5220195	Caiman yacare	5220210	LC
5133255	Morpho achilles (Linnaeus, 1758)	5133255	Morpho achilles (Linnaeus, 1758)	260	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Morpho	1909888	Morpho achilles	5133255	
7206094	Euploea tulliolus tulliolus	7206094	Euploea tulliolus tulliolus	29	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Euploea	1916794	Euploea tulliolus	5136939	
2762691	Musa acuminata subsp. microcarpa (Becc.) N.W.Simmonds	2762691	Musa acuminata subsp. microcarpa (Becc.) N.W.Simmonds	4	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Musaceae	4686	Musa	2760990	Musa acuminata	2762680	
2480708	Aviceda jerdoni (Blyth, 1842)	2480708	Aviceda jerdoni (Blyth, 1842)	374	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Aviceda	2480703	Aviceda jerdoni	2480708	LC
2443729	Tropidolaemus subannulatus (Gray, 1842)	2443729	Tropidolaemus subannulatus (Gray, 1842)	1428	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Viperidae	5024	Tropidolaemus	2443717	Tropidolaemus subannulatus	2443729	LC
3778815	Sanchezia parvibracteata Sprague & Hutch.	3778815	Sanchezia parvibracteata Sprague & Hutch.	382	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Acanthaceae	2393	Sanchezia	3173029	Sanchezia parvibracteata	3778815	
9240145	Austruca annulipes (H.Milne Edwards, 1837)	9240145	Austruca annulipes (H.Milne Edwards, 1837)	910	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Ocypodidae	4527	Austruca	4646674	Austruca annulipes	9240145	
5599006	Lonicera involucrata var. ledebourii (Eschsch.) Jeps.	5599006	Lonicera involucrata var. ledebourii (Eschsch.) Jeps.	530	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Caprifoliaceae	6710	Lonicera	2888645	Lonicera involucrata	5334253	
5130444	Junonia iphita (Cramer, 1782)	5130444	Junonia iphita (Cramer, 1782)	9992	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Junonia	1901885	Junonia iphita	5130444	
5883202	Acytolepis puspa gisca (Fruhstorfer, 1910)	5883202	Acytolepis puspa gisca (Fruhstorfer, 1910)	86	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Acytolepis	1924272	Acytolepis puspa	1924298	
7190929	Caiman yacare yacare (Daudin, 1802)	7190929	Caiman yacare yacare (Daudin, 1802)	35	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Crocodylia	11493978			Alligatoridae	3238603	Caiman	5220195	Caiman yacare	5220210	
2964362	Lupinus polyphyllus subsp. polyphyllus	2964362	Lupinus polyphyllus subsp. polyphyllus	24	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lupinus	2963774	Lupinus polyphyllus	2964355	
